"p","a","b","x"
-1.79,-2,0,0
-1.79,2,0,0
-1.79,0,0,0
-1.78,-2,-0.1,-0.06011866496416637
-1.78,2,-0.1,-0.05294656982567966
-1.78,0,-0.1,-0.05608068752666499
-1.78,-2,0.1,0.05294656982567966
-1.78,2,0.1,0.06011866496416637
-1.78,0,0.1,0.05608068752666499
-1.78,-2,0,0
-1.78,2,0,0
-1.78,0,0,0
-1.77,-2,-0.1,-0.06050913268517033
-1.77,2,-0.1,-0.05321253001015258
-1.77,0,-0.1,-0.056395838174503214
-1.77,-2,0.1,0.05321253001015258
-1.77,2,0.1,0.06050913268517033
-1.77,0,0.1,0.056395838174503214
-1.77,-2,0,0
-1.77,2,0,0
-1.77,0,0,0
-1.76,-2,-0.1,-0.06090507586492073
-1.76,2,-0.1,-0.05348101916430084
-1.76,0,-0.1,-0.056714531561908164
-1.76,-2,0.1,0.05348101916430084
-1.76,2,0.1,0.06090507586492073
-1.76,0,0.1,0.056714531561908164
-1.76,-2,0,0
-1.76,2,0,0
-1.76,0,0,0
-1.75,-2,-0.1,-0.061306618205114655
-1.75,2,-0.1,-0.05375207121108326
-1.75,0,-0.1,-0.05703682732121779
-1.75,-2,0.1,0.05375207121108326
-1.75,2,0.1,0.061306618205114655
-1.75,0,0.1,0.05703682732121779
-1.75,-2,0,0
-1.75,2,0,0
-1.75,0,0,0
-1.74,-2,-0.1,-0.0617138873786824
-1.74,2,-0.1,-0.05402572063679891
-1.74,0,-0.1,-0.05736278641784259
-1.74,-2,0.1,0.05402572063679891
-1.74,2,0.1,0.0617138873786824
-1.74,0,0.1,0.05736278641784259
-1.74,-2,0,0
-1.74,2,0,0
-1.74,0,0,0
-1.73,-2,-0.1,-0.0621270151981745
-1.73,2,-0.1,-0.05430200250167331
-1.73,0,-0.1,-0.05769247118727823
-1.73,-2,0.1,0.05430200250167331
-1.73,2,0.1,0.0621270151981745
-1.73,0,0.1,0.05769247118727823
-1.73,-2,0,0
-1.73,2,0,0
-1.73,0,0,0
-1.72,-2,-0.1,-0.06254613779312923
-1.72,2,-0.1,-0.05458095245064856
-1.72,0,-0.1,-0.05802594537333985
-1.72,-2,0.1,0.05458095245064856
-1.72,2,0.1,0.06254613779312923
-1.72,0,0.1,0.05802594537333985
-1.72,-2,0,0
-1.72,2,0,0
-1.72,0,0,0
-1.71,-2,-0.1,-0.0629713957970024
-1.71,2,-0.1,-0.05486260672438079
-1.71,0,-0.1,-0.0583632741676645
-1.71,-2,0.1,0.05486260672438079
-1.71,2,0.1,0.0629713957970024
-1.71,0,0.1,0.0583632741676645
-1.71,-2,0,0
-1.71,2,0,0
-1.71,0,0,0
-1.7,-2,-0.1,-0.06340293454428558
-1.7,2,-0.1,-0.05514700217044792
-1.7,0,-0.1,-0.05870452425052995
-1.7,-2,0.1,0.05514700217044792
-1.7,2,0.1,0.06340293454428558
-1.7,0,0.1,0.05870452425052995
-1.7,-2,0,0
-1.7,2,0,0
-1.7,0,0,0
-1.69,-2,-0.1,-0.06384090427848813
-1.69,2,-0.1,-0.05543417625477124
-1.69,0,-0.1,-0.0590497638330406
-1.69,-2,0.1,0.05543417625477124
-1.69,2,0.1,0.06384090427848813
-1.69,0,0.1,0.0590497638330406
-1.69,-2,0,0
-1.69,2,0,0
-1.69,0,0,0
-1.68,-2,-0.1,-0.06428546037170985
-1.68,2,-0.1,-0.055724167073253845
-1.68,0,-0.1,-0.05939906270073284
-1.68,-2,0.1,0.055724167073253845
-1.68,2,0.1,0.06428546037170985
-1.68,0,0.1,0.05939906270073284
-1.68,-2,0,0
-1.68,2,0,0
-1.68,0,0,0
-1.67,-2,-0.1,-0.06473676355659089
-1.67,2,-0.1,-0.05601701336363914
-1.67,0,-0.1,-0.05975249225865516
-1.67,-2,0.1,0.05601701336363914
-1.67,2,0.1,0.06473676355659089
-1.67,0,0.1,0.05975249225865516
-1.67,-2,0,0
-1.67,2,0,0
-1.67,0,0,0
-1.66,-2,-0.1,-0.06519498017148659
-1.66,2,-0.1,-0.05631275451759263
-1.66,0,-0.1,-0.06011012557797984
-1.66,-2,0.1,0.05631275451759263
-1.66,2,0.1,0.06519498017148659
-1.66,0,0.1,0.06011012557797984
-1.66,-2,0,0
-1.66,2,0,0
